# 7777 Chain Airdrop Data for 96369 Mainnet
# Generated: 2025-07-21T05:05:20.540079
# Source Genesis: $HOME/work/lux/genesis/data/genesis-7777-evm.json
# Original Chain ID: 7777
# Target Chain ID: 96369
# Total Accounts: 151
# Total Supply: 2,000,000,000,000.000000000000000000 LUX (2000000000000000000000000000000 wei)
# Block Height at Genesis: 888,834 (0xD9002)
#
rank,address,balance_lux,balance_wei,balance_hex,percentage
71,0xc62ed5ddf2c97538c4268615e46b7a9991cd385f,1342.554749611208535498,1342554749611208551023,0x48c7b09f9c89972a6f,0.0000000671
72,0xce15d0ac1dd7f0da84d65aaa40717e0c60d9fe36,1216.602563566377739335,1216602563566377800142,0x41f3c091ba1b8a91ce,0.0000000608
73,0x99f4aa6b5816ac95d4c753e9bbf9ce0db2efbff5,1000.000000000000000000,1000000000000000000000,0x3635c9adc5dea00000,0.0000000500
74,0x254cdebf0a640ffdaa3bf00a52954772436a3ad0,952.303774533998534935,952303774533998578696,0x339fdea56ac2ab8c08,0.0000000476
75,0xd46b82c283eae0095c9eb61006105f09692ec0bc,584.302282307000041328,584302282307000000000,0x1facd2b5fdf6bede00,0.0000000292
76,0x30853af705bd32ce74b936a1a934f711ed6ce45e,584.122724631499977477,584122724631500000000,0x1faa54cb3ccddf8b00,0.0000000292
77,0xf718a9267556826c1acce70f7682dfee8eb31621,584.098397936999958802,584098397937000000000,0x1fa9fe5e3cdda42a00,0.0000000292
78,0x45b1166db5945028b0bf5ed341db4d4937e22de0,583.883567979499957801,583883567979500000000,0x1fa703238795bdd300,0.0000000292
79,0xa65e2940ee437ba7a3b3c3e83c94548276c19494,583.625938633000032496,583625938633000000000,0x1fa36fdb0103e49a00,0.0000000292
80,0x34a2ed5859d507024e3a947d94970360d3797be4,511.999474999999961256,511999474999999979000,0x1bc16b89d2b17dddf8,0.0000000256
81,0x0a6bbd636aa6c6d767327da8742b94b260a5475c,500.000000000000000000,500000000000000000000,0x1b1ae4d6e2ef500000,0.0000000250
82,0xeabcc110facbfebabc66ad6f9e7b67288e720b59,434.892958261791477526,434892958261791482575,0x17935a2960a0dce2cf,0.0000000217
83,0x150e690496aea9a3d38df13908819cacf07905ae,369.000000000000000000,369000000000000000000,0x1400e758f447240000,0.0000000184
84,0xfd047b03b16aeda6971096279f5ed990a5ea5ef1,297.472800469999981487,297472800470000000000,0x102043aff2f300dc00,0.0000000149
85,0x794ca6947c3ce69a982a3275d1db62f18b9daf5e,297.448772496000003684,297448772496000000000,0x101fee52a24c0fa000,0.0000000149
86,0xe68740e4479d2dc22698c2e417b1eb7889709cf8,297.447902553999995234,297447902554000000000,0x101feb3b6d242d0400,0.0000000149
87,0xf5c91c6b5b85f4a7948284a4bafeb7aea9763129,297.420462546000010207,297420462546000000000,0x101f89bee26ab3b400,0.0000000149
88,0x9965a41912a874ed1196b6f012a8649cb30e0f82,297.415311900000006062,297415311900000000000,0x101f77726631821800,0.0000000149
89,0x2ff076419c2b1c39f947f787141df30096dc6302,225.795680315999987897,225795680316000000000,0xc3d8b66ee3cd75800,0.0000000113
90,0xf19f03fb64750abae0f4d2f038c223170bdb1250,225.734832584000002953,225734832584000000000,0xc3cb33a3da197d000,0.0000000113
91,0xa5e39370db5caa090e9e54c43628148989e7d7c1,225.580244850000013912,225580244850000000000,0xc3a8e058405e3f400,0.0000000113
92,0xf46c1b86c48dcb299d65d36b966a307053b941e6,225.012270905999997694,225012270906000000000,0xc32ac2c391017c400,0.0000000113
93,0x783449de8dd99154c9ed10d0cac51944c38a2fbf,224.686390108000011878,224686390108000000000,0xc2e26695d1c2e9800,0.0000000112
94,0x964449c8743de976d1300eba4b21d9d6614a3e2f,213.000000000000000000,213000000000000000000,0xb8bf8037a46340000,0.0000000106
95,0x49bd61aa7098aa3df9a9c8472c659daa1599d51f,138.462901236860801646,138462901236860790090,0x7818f0b112915254a,0.0000000069
96,0x52a30ec9d9a6a67fb4240c0c6ebc56de7be8fb70,110.000000000000000000,110000000000000000000,0x5f68e8131ecf80000,0.0000000055
97,0xd2466a1b8b0b159eb80c74ea3e18e1a29fb02f63,105.541054025699736485,105541054025699731895,0x5b8ad2574b624a9b7,0.0000000053
98,0x81a65b46b1f0d29a0c7c32fe1c53661e8898b772,100.000000000000000000,100000000000000000000,0x56bc75e2d63100000,0.0000000050
99,0x96cabdd0533e3d434c1548456427b35c45e53e86,100.000000000000000000,100000000000000000000,0x56bc75e2d63100000,0.0000000050
100,0x982942216728edfc327f0b1b71ce2fafae98589b,65.229813361751567413,65229813361751563526,0x3893ed9a6703b1d06,0.0000000033
101,0xdf940752031fe595e62e9c84b0272eb04c7f7d77,49.996239599999846348,49996239599999849584,0x2b5d65306574f1470,0.0000000025
102,0xd4a215472332e8b6e26b0a5dc253db78119904ca,11.104228073018175493,11104228073018175621,0x9a1a2499852b3085,0.0000000006
103,0x14249dcbad19a6f9320447b92a10cee241a0e526,9.944530749997781527,9944530749997781230,0x8a0212075b9110ee,0.0000000005
104,0x887c53d3c339a2ee0a62029a8f92ae3ad818ef44,6.517663703000000197,6517663703000000000,0x5a73649b16c5a600,0.0000000003
105,0xf2a4b60e1148acc9824c760fa041e646940dd7a4,6.337908007635431495,6337908007635431602,0x57f4c5c0d636b0b2,0.0000000003
106,0xa4ec9b6a4cd151a68f2e7da45e50a400e77be4f2,6.000795862000000369,6000795862000000000,0x53471c0afc24dc00,0.0000000003
107,0x75210322ac566aaf2a259aabf5da1b226bc71ef1,5.905041020999999724,5905041021000000000,0x51f2eb85b8d0a200,0.0000000003
108,0x20b1ba8c79de32bc63fae44d7c2762f55e420160,5.420026108656282204,5420026108656282572,0x4b37cd077fccebcc,0.0000000003
109,0xe64999cb707ae2aff1e23ad1ca96ace7a54f6ff4,5.050476980000000005,5050476980000000000,0x4616e60e03300800,0.0000000003
110,0x43794a4baea98e3dc3abc04f520f6530561ea088,4.599299738476448240,4599299738476448651,0x3fd3febe776f8b8b,0.0000000002
111,0xd253919b93ed874b2971b3c776058c0fe5506be8,3.517652415000000143,3517652415000000000,0x30d1363bef5eb600,0.0000000002
112,0x31a7fc3f8ed643baf9deb35bfe592d97987692e5,3.344703935379616411,3344703935379616486,0x2e6ac6821b2732e6,0.0000000002
113,0x3e568e1ce1c5296abd18effd5f42249999d01070,2.793479514835091937,2793479514835091867,0x26c46ed17913819b,0.0000000001
114,0x600b9006421b14e932cae71b57d4e802f9be978c,2.455747153995516463,2455747153995516659,0x2214910684144af3,0.0000000001
115,0x9272ba300bb550afaa9d11f1a03340527cea89ea,2.134629143713059118,2134629143713059306,0x1d9fb9e57e3691ea,0.0000000001
116,0xf919f81562eef0e27b9da905ee4146549c8f9d71,1.829577725999999904,1829577726000000000,0x1963f73f8f326c00,0.0000000001
117,0xc73463572365a8b1c1d8d770f0808e5fc29e89fe,1.715505359000000007,1715505359000000000,0x17ceb308ed795600,0.0000000001
118,0x846c9c12c9f0e38b1c25f0ad318a70617d8feb57,1.509192140185496855,1509192140185496774,0x14f1ba4165916cc6,0.0000000001
119,0x3c6e4032509aa8c57403c9a48dbaeac1d359bc49,1.498185224999927456,1498185224999927409,0x14ca9f863fdbfe71,0.0000000001
120,0xf88aa64acd96ac036cf91f99f4082ad71586fd42,1.469197480999999916,1469197481000000000,0x1463a35327e75a00,0.0000000001
121,0xc940f07de2ef614af51e33f1ce46a4ec82dbc364,1.377291060999999983,1377291061000000000,0x131d1eec3b39d200,0.0000000001
122,0xff78943191d4ad3d7fe1f772bacfa1892d2d0883,1.362799733999999985,1362799734000000000,0x12e9a3233d111c00,0.0000000001
123,0xa766cf69749349e7a11e49eab7c6c11f652704d3,1.224337399663980142,1224337399663980117,0x10fdb860d0326e55,0.0000000001
124,0x4e4f6ea7bbda013c409acbd9fb1eb47b58b6dd1f,1.051309763075428449,1051309763075428414,0xe9700a8d102d03e,0.0000000001
125,0xadde1b334b4a5f9679659889332a3bab274f7a31,1.000000000000000000,1000000000000000000,0xde0b6b3a7640000,0.0000000001
126,0x02ef9648c9d0e3837e976eb754e14a3b90a2abd1,1.000000000000000000,1000000000000000000,0xde0b6b3a7640000,0.0000000001
127,0x12c6ee1d226225756f57b75957d2bf3ab2e8597e,0.998684429500000026,998684429500000000,0xddc0a32870fa700,0.0000000000
128,0x5fc45f7a2791db9dc821f64338b96a9f62e832b2,0.997752449999910085,997752449999910098,0xdd8ba91240534d2,0.0000000000
129,0x8d5081153ae1cfb41f5c932fe0b6beb7e159cf84,0.978968110722626350,978968110722626299,0xd95fe4f560eb2fb,0.0000000000
130,0x6174ab510f6fea88d53f8f5a4ebac4198aa93f87,0.849119163888936268,849119163888936309,0xbc8ad617793a575,0.0000000000
131,0xecc368b7e0c1f0c4fac4eb2a3dc7b49b23bd3fd3,0.816640165058196255,816640165058196212,0xb5549e7439c32f4,0.0000000000
132,0xc25d00876b6bb80a64e3032c2872440ebfaf5b80,0.774717887660207105,774717887660207059,0xac059d06f20abd3,0.0000000000
133,0xd17d33c6fb37df09ecc57120363818c985e86e94,0.706215774000000018,706215774000000000,0x9ccfb81380c2c00,0.0000000000
134,0xb4440508f1a2af6001efadd7744e67fe52ebeb26,0.705564144500000046,705564144500000000,0x9caaad9e72cc500,0.0000000000
135,0x0028a38bf8ea13e90877612a4c349be55c0c8b1f,0.702989995000000034,702989995000000000,0x9c185ad04a0ee00,0.0000000000
136,0xb38abec154b77bd03e0366b8a9336eb408717974,0.700374878500000020,700374878500000000,0x9b83b3dc2999100,0.0000000000
137,0x920868c7a5f52d9c8c73697ad3b2f80f35ac66ff,0.700090286500000047,700090286500000000,0x9b738680588b100,0.0000000000
138,0x0c00244bd6c732cc2e9824805bb79a85ffaebf3f,0.700022539500000041,700022539500000000,0x9b6faca71aa1300,0.0000000000
139,0xf3a989966256fee32df6780a3e45479bc3f8f6b8,0.698934042999999949,698934043000000000,0x9b31ccf1a714e00,0.0000000000
140,0x187aa02e0b1e353f09939b9a82aab49eab3d92dc,0.698757209000000046,698757209000000000,0x9b27bfabab03a00,0.0000000000
141,0x8fb09acdb02308691f2e0afa5f7f6202aef1e815,0.698138282000000054,698138282000000000,0x9b049118eb62400,0.0000000000
142,0xc819896c3f9e9bd90af2405b043f2a9a0ccf62d9,0.697675656499999963,697675656500000000,0x9aea4502a1eb500,0.0000000000
143,0xdcf645c7c245f4b34260374828a013d81875e642,0.651759249982255429,651759249982255481,0x90b8395ae447179,0.0000000000
144,0xfd1c9095d0dd944dfbb3a1fc71cd3ad892656e18,0.460447899996916044,460447899996916045,0x663d6ecece4094d,0.0000000000
145,0x4b57e6e54259cade11f14753f55252e56975a555,0.458274345379112269,458274345379112281,0x65c1e16cdff2559,0.0000000000
146,0x5cbdb6242f84cd77997c27d2a5d0ad13d03ae00f,0.380579786165914313,380579786165914300,0x548174c931d0abc,0.0000000000
147,0x8c77cee59c3a49724b4aef4e8f241627de6ad4e1,0.090581124999623244,90581124999623245,0x141cf0da2f5324d,0.0000000000
148,0xd868e0f0cb9ee20fd61513f1650877fcd9a18f99,0.008060825000322434,8060825000322433,0x1ca34712bda581,0.0000000000
149,0x61868f146f9f80c73a8761529f89bcf8c86ad60f,0.008060825000322434,8060825000322433,0x1ca34712bda581,0.0000000000
150,0x02f2ce3f9f91185d95147b194b1e32a745a1410a,0.008060825000322434,8060825000322433,0x1ca34712bda581,0.0000000000
151,0x431164c9602f7db8c9f12d99400f2aec0ae75f2c,0.008060825000322434,8060825000322433,0x1ca34712bda581,0.0000000000
