# 7777 Chain Airdrop Data for 96369 Mainnet (Excluding Treasury)
# Generated: 2025-07-21T05:05:20.541673
# Source Genesis: $HOME/work/lux/genesis/data/genesis-7777-evm.json
# Treasury Address Excluded: 0x9011e888251ab053b7bd1cdb598db4f9ded94714
# Treasury Balance: 1,994,739,905,397.28 LUX
# Remaining Accounts: 150
# Remaining Supply: 5,260,094,602.721317291259765625 LUX (5260094602721316935161711797 wei)
#
rank,address,balance_lux,balance_wei,balance_hex,percentage
61,0x1eb0b3e6cb2de3b25b45d6e49c33e683271d7bd5,13977.054305952586219064,13977054305952586503209,0x2f5b29805a807df9429,0.0002657187
62,0x086f4aa1a49b193d49e5bbb462e1554cfb419040,11501.500907060946701677,11501500907060947395671,0x26f7f63996890d52457,0.0002186558
63,0x93bbd696f76e4519fdf00575da0e8994eea14588,9989.999475000000529690,9989999474999999979000,0x21d8f17c93a11d5ddf8,0.0001899205
64,0xf451a699957e876bab45885ac0a94294d93fc02d,9699.974274999998669955,9699974274999998971000,0x20dd62f4a723a277c78,0.0001844068
65,0xabe34ce4f1423cd9025db7eb7637a08af60d4af3,8295.370720583550792071,8295370720583551325722,0x1c1b165079ceebc961a,0.0001577038
66,0x9cecb0d59a65ca8a8a19880643e8b314ad5443cf,5973.968073823808481393,5973968073823808808107,0x143d97617b410ae64ab,0.0001135715
67,0x0100000000000000000000000000000000000000,3736.627226602826340240,3736627226602826188339,0xca901ea91882814633,0.0000710373
68,0x84ce16fb62feced7f4c56d01a596e662dbff38c8,3039.998950000000149885,3039998949999999958000,0xa4cc75da6b967bbbf0,0.0000577936
69,0xd88b11ff2796af327545917318f8f4ae7d504ee0,2131.893684721600038756,2131893684721599958000,0x7391f7daff5994cbf0,0.0000405296
70,0xc62ed5ddf2c97538c4268615e46b7a9991cd385f,1342.554749611208535498,1342554749611208551023,0x48c7b09f9c89972a6f,0.0000255234
71,0xce15d0ac1dd7f0da84d65aaa40717e0c60d9fe36,1216.602563566377739335,1216602563566377800142,0x41f3c091ba1b8a91ce,0.0000231289
72,0x99f4aa6b5816ac95d4c753e9bbf9ce0db2efbff5,1000.000000000000000000,1000000000000000000000,0x3635c9adc5dea00000,0.0000190111
73,0x254cdebf0a640ffdaa3bf00a52954772436a3ad0,952.303774533998534935,952303774533998578696,0x339fdea56ac2ab8c08,0.0000181043
74,0xd46b82c283eae0095c9eb61006105f09692ec0bc,584.302282307000041328,584302282307000000000,0x1facd2b5fdf6bede00,0.0000111082
75,0x30853af705bd32ce74b936a1a934f711ed6ce45e,584.122724631499977477,584122724631500000000,0x1faa54cb3ccddf8b00,0.0000111048
76,0xf718a9267556826c1acce70f7682dfee8eb31621,584.098397936999958802,584098397937000000000,0x1fa9fe5e3cdda42a00,0.0000111043
77,0x45b1166db5945028b0bf5ed341db4d4937e22de0,583.883567979499957801,583883567979500000000,0x1fa703238795bdd300,0.0000111002
78,0xa65e2940ee437ba7a3b3c3e83c94548276c19494,583.625938633000032496,583625938633000000000,0x1fa36fdb0103e49a00,0.0000110954
79,0x34a2ed5859d507024e3a947d94970360d3797be4,511.999474999999961256,511999474999999979000,0x1bc16b89d2b17dddf8,0.0000097337
80,0x0a6bbd636aa6c6d767327da8742b94b260a5475c,500.000000000000000000,500000000000000000000,0x1b1ae4d6e2ef500000,0.0000095055
81,0xeabcc110facbfebabc66ad6f9e7b67288e720b59,434.892958261791477526,434892958261791482575,0x17935a2960a0dce2cf,0.0000082678
82,0x150e690496aea9a3d38df13908819cacf07905ae,369.000000000000000000,369000000000000000000,0x1400e758f447240000,0.0000070151
83,0xfd047b03b16aeda6971096279f5ed990a5ea5ef1,297.472800469999981487,297472800470000000000,0x102043aff2f300dc00,0.0000056553
84,0x794ca6947c3ce69a982a3275d1db62f18b9daf5e,297.448772496000003684,297448772496000000000,0x101fee52a24c0fa000,0.0000056548
85,0xe68740e4479d2dc22698c2e417b1eb7889709cf8,297.447902553999995234,297447902554000000000,0x101feb3b6d242d0400,0.0000056548
86,0xf5c91c6b5b85f4a7948284a4bafeb7aea9763129,297.420462546000010207,297420462546000000000,0x101f89bee26ab3b400,0.0000056543
87,0x9965a41912a874ed1196b6f012a8649cb30e0f82,297.415311900000006062,297415311900000000000,0x101f77726631821800,0.0000056542
88,0x2ff076419c2b1c39f947f787141df30096dc6302,225.795680315999987897,225795680316000000000,0xc3d8b66ee3cd75800,0.0000042926
89,0xf19f03fb64750abae0f4d2f038c223170bdb1250,225.734832584000002953,225734832584000000000,0xc3cb33a3da197d000,0.0000042915
90,0xa5e39370db5caa090e9e54c43628148989e7d7c1,225.580244850000013912,225580244850000000000,0xc3a8e058405e3f400,0.0000042885
91,0xf46c1b86c48dcb299d65d36b966a307053b941e6,225.012270905999997694,225012270906000000000,0xc32ac2c391017c400,0.0000042777
92,0x783449de8dd99154c9ed10d0cac51944c38a2fbf,224.686390108000011878,224686390108000000000,0xc2e26695d1c2e9800,0.0000042715
93,0x964449c8743de976d1300eba4b21d9d6614a3e2f,213.000000000000000000,213000000000000000000,0xb8bf8037a46340000,0.0000040494
94,0x49bd61aa7098aa3df9a9c8472c659daa1599d51f,138.462901236860801646,138462901236860790090,0x7818f0b112915254a,0.0000026323
95,0x52a30ec9d9a6a67fb4240c0c6ebc56de7be8fb70,110.000000000000000000,110000000000000000000,0x5f68e8131ecf80000,0.0000020912
96,0xd2466a1b8b0b159eb80c74ea3e18e1a29fb02f63,105.541054025699736485,105541054025699731895,0x5b8ad2574b624a9b7,0.0000020064
97,0x81a65b46b1f0d29a0c7c32fe1c53661e8898b772,100.000000000000000000,100000000000000000000,0x56bc75e2d63100000,0.0000019011
98,0x96cabdd0533e3d434c1548456427b35c45e53e86,100.000000000000000000,100000000000000000000,0x56bc75e2d63100000,0.0000019011
99,0x982942216728edfc327f0b1b71ce2fafae98589b,65.229813361751567413,65229813361751563526,0x3893ed9a6703b1d06,0.0000012401
100,0xdf940752031fe595e62e9c84b0272eb04c7f7d77,49.996239599999846348,49996239599999849584,0x2b5d65306574f1470,0.0000009505
101,0xd4a215472332e8b6e26b0a5dc253db78119904ca,11.104228073018175493,11104228073018175621,0x9a1a2499852b3085,0.0000002111
102,0x14249dcbad19a6f9320447b92a10cee241a0e526,9.944530749997781527,9944530749997781230,0x8a0212075b9110ee,0.0000001891
103,0x887c53d3c339a2ee0a62029a8f92ae3ad818ef44,6.517663703000000197,6517663703000000000,0x5a73649b16c5a600,0.0000001239
104,0xf2a4b60e1148acc9824c760fa041e646940dd7a4,6.337908007635431495,6337908007635431602,0x57f4c5c0d636b0b2,0.0000001205
105,0xa4ec9b6a4cd151a68f2e7da45e50a400e77be4f2,6.000795862000000369,6000795862000000000,0x53471c0afc24dc00,0.0000001141
106,0x75210322ac566aaf2a259aabf5da1b226bc71ef1,5.905041020999999724,5905041021000000000,0x51f2eb85b8d0a200,0.0000001123
107,0x20b1ba8c79de32bc63fae44d7c2762f55e420160,5.420026108656282204,5420026108656282572,0x4b37cd077fccebcc,0.0000001030
108,0xe64999cb707ae2aff1e23ad1ca96ace7a54f6ff4,5.050476980000000005,5050476980000000000,0x4616e60e03300800,0.0000000960
109,0x43794a4baea98e3dc3abc04f520f6530561ea088,4.599299738476448240,4599299738476448651,0x3fd3febe776f8b8b,0.0000000874
110,0xd253919b93ed874b2971b3c776058c0fe5506be8,3.517652415000000143,3517652415000000000,0x30d1363bef5eb600,0.0000000669
111,0x31a7fc3f8ed643baf9deb35bfe592d97987692e5,3.344703935379616411,3344703935379616486,0x2e6ac6821b2732e6,0.0000000636
112,0x3e568e1ce1c5296abd18effd5f42249999d01070,2.793479514835091937,2793479514835091867,0x26c46ed17913819b,0.0000000531
113,0x600b9006421b14e932cae71b57d4e802f9be978c,2.455747153995516463,2455747153995516659,0x2214910684144af3,0.0000000467
114,0x9272ba300bb550afaa9d11f1a03340527cea89ea,2.134629143713059118,2134629143713059306,0x1d9fb9e57e3691ea,0.0000000406
115,0xf919f81562eef0e27b9da905ee4146549c8f9d71,1.829577725999999904,1829577726000000000,0x1963f73f8f326c00,0.0000000348
116,0xc73463572365a8b1c1d8d770f0808e5fc29e89fe,1.715505359000000007,1715505359000000000,0x17ceb308ed795600,0.0000000326
117,0x846c9c12c9f0e38b1c25f0ad318a70617d8feb57,1.509192140185496855,1509192140185496774,0x14f1ba4165916cc6,0.0000000287
118,0x3c6e4032509aa8c57403c9a48dbaeac1d359bc49,1.498185224999927456,1498185224999927409,0x14ca9f863fdbfe71,0.0000000285
119,0xf88aa64acd96ac036cf91f99f4082ad71586fd42,1.469197480999999916,1469197481000000000,0x1463a35327e75a00,0.0000000279
