address,eggs,zoo_amount,source
0xbb8008b60dc3b6a7ac2957a2035be5145a1bde60,2,8400000,bsc_scan
0xbd1a685bc7b3a2a68fbc611d6dcff02cfa1706ef,1,4200000,bsc_scan
0xbf6acf74d710f01b2e34cdf37b8e67f2faa4f86d,1,4200000,bsc_scan
0xc526fdc9950cfa85e77309c5a3fa64b3f34c6260,9,37800000,bsc_scan
0xc65fa62d0f0aab71eb1f7ef4fac2a1eb44241e17,1,4200000,bsc_scan
0xc6c231f34637145ee4fd2174309e465ef56ba7b0,6,25200000,bsc_scan
0xc9c6de34a46bd90264a36c791a6d751ef2455a83,1,4200000,bsc_scan
0xca92ad0c91bd8de640b9daffeb338ac908725142,12,50400000,spreadsheet
0xcc9c4d6a8502c38f2dcda03b0e9fb5e5e6d6b88e,1,4200000,spreadsheet
0xd08d35f5c862971a7ee8a5d1d66e694c8f260ca9,1,4200000,bsc_scan
0xd444d13a8b3975b17baa7ef27e6990352bf34eb5,3,12600000,bsc_scan
0xd7e2ea6c4d40a90b1c8f4bb43bf63c96770a5078,1,4200000,spreadsheet
0xd858299ca7be4087c942ecf8dd52df2aa81c7764,1,4200000,bsc_scan
0xd93fa39b8b1c2c7c01e892c29e8ab10f4cf77c1f,2,8400000,spreadsheet
0xd9b4db1173b2311cecc1a6d24119ca4735405bde,2,8400000,bsc_scan
0xdb4c9e33b93df5da19821c4ad0c1b1ea4e007a75,3,12600000,spreadsheet
0xdbddb0eefc91881cdd4139821d3262fab45f1a31,1,4200000,bsc_scan
0xdd50a3b91025a44ead57dcb109b7b5a30a28f80f,4,16800000,bsc_scan
0xdecc54d2e97f44778143752254a05c1152d39aa7,9,37800000,bsc_scan
0xe141d556e7bca9e77dcd4fa67bd983237b404e6e,1,4200000,bsc_scan
0xe1446c602565881677f0b9cf9cafea5960af6e4d,1,4200000,bsc_scan
0xeefa6898191c92690bd8ef1bb972096d2971bcf0,5,21000000,bsc_scan
0xf1a4d066cbefc59f3335fdcc6cf35ea62874e263,2,8400000,bsc_scan
0xf242ee88439e4d9a70ad336d1fc84a59d9e794fd,5,21000000,bsc_scan
0xf7fb4fc5d5c2a59f8eb88ed6c0f09f8cf9c7c33f,2,8400000,spreadsheet
0xf831b395cb0e1a014257ae6baa79fcd9efa538f2,2,8400000,bsc_scan
0xf997b8999c827606e431e8db4022040ba31c1b6f,2,8400000,bsc_scan
0xfaf765fff46bc3edfc4ab3214a8aea127ebb9c66,1,4200000,bsc_scan
0xfbdacc3db0c6a16c51f4e09c4e97a18bb16c3cc4,1,4200000,spreadsheet
0xfd83f112c966374fec0bedacc21ae2d45a3f39fb,5,21000000,bsc_scan
0xfdd17d7fbe677516ffe7ffa3e1d200b559d79fe5,16,67200000,bsc_scan
0xfe128356d8b085c807c4604f750bb236dbdb6082,16,67200000,bsc_scan
0xfe457c54857b39dac766844803e2fd90c92600c4,4,16800000,bsc_scan
0xfee726941989d44c5ce6ea113cc56b08ea2b3e41,5,21000000,bsc_scan
0xfef62a7b791cd9dfc137ca2bd56a55abbb7d1738,2,8400000,bsc_scan
0xffdb31285961d44d40c404566e9de9080b1abd50,1,4200000,bsc_scan
